"24,25,33,42,57,89 | SS: 68",
"1,4,14,30,78,82 | SS: 44",
"15,30,33,37,62,78 | SS: 23",
"13,25,45,70,78,88 | SS: 55",
"13,19,60,61,83,90 | SS: 6",
"16,33,60,61,62,63 | SS: 51",
"16,19,44,60,76,89 | SS: 49",
"27,35,41,46,49,86 | SS: 40",
"10,11,13,37,81,84 | SS: 63",
"1,4,12,14,66,78 | SS: 75",
"32,35,44,58,82,90 | SS: 42",
"16,21,59,70,71,83 | SS: 37",
"13,18,47,51,60,64 | SS: 36",
"8,23,30,53,69,78 | SS: 78",
"12,22,53,54,60,77 | SS: 7",
"22,42,52,55,62,74 | SS: 74",
"11,18,37,52,62,77 | SS: 19",
"19,22,46,49,72,85 | SS: 10",
"16,23,40,62,79,88 | SS: 89",
"14,19,20,26,79,82 | SS: 59",
"11,31,38,50,59,62 | SS: 56",
"1,4,32,35,36,87 | SS: 20",
"1,63,67,71,75,79 | SS: 78",
"5,32,39,50,59,77 | SS: 18",
"30,36,39,68,71,80 | SS: 78",
"19,22,44,61,66,75 | SS: 58",
"5,11,33,51,82,85 | SS: 1",
"1,16,25,33,54,71 | SS: 29",
"18,33,51,66,87,90 | SS: 16",
"20,68,70,71,72,81 | SS: 41",
"29,31,41,44,64,73 | SS: 46",
"5,42,51,66,69,74 | SS: 34",
"9,10,63,73,79,90 | SS: 62",
"10,13,21,31,48,72 | SS: 9",
"6,27,39,43,62,84 | SS: 12",
"2,8,43,48,60,67 | SS: 79",
"22,26,51,63,64,73 | SS: 37",
"8,22,36,48,53,55 | SS: 89",
"5,11,24,26,49,68 | SS: 54",
"11,29,56,62,68,76 | SS: 33",
"27,28,56,67,75,86 | SS: 70",
"5,11,40,45,58,75 | SS: 12",
"20,45,59,75,84,90 | SS: 20",
"21,22,34,55,56,74 | SS: 43",
"4,49,54,73,79,83 | SS: 8",
"2,12,19,25,31,76 | SS: 14",
"15,46,47,67,73,90 | SS: 32",
"16,21,27,43,56,64 | SS: 78",
"3,27,30,38,43,60 | SS: 13",
"22,36,65,72,82,86 | SS: 15",
"12,37,46,54,58,79 | SS: 40",
"5,35,49,52,65,89 | SS: 55",
"26,34,68,82,83,87 | SS: 71",
"18,24,46,47,69,70 | SS: 41",
"31,37,45,52,74,83 | SS: 19",
"21,22,25,53,76,85 | SS: 77",
"5,11,21,49,54,84 | SS: 69",
"3,4,5,47,55,80 | SS: 71",
"6,9,42,48,81,87 | SS: 84",
"45,49,63,67,82,90 | SS: 56",
"8,25,28,57,71,72 | SS: 66",
"4,25,30,40,41,62 | SS: 55",
"6,59,77,81,82,88 | SS: 74",
"3,8,16,64,72,73 | SS: 61",
"3,27,29,46,47,61 | SS: 24",
"3,9,14,55,62,83 | SS: 45",
"46,49,50,57,68,69 | SS: 90",
"2,11,17,33,79,87 | SS: 79",
"26,33,35,45,54,61 | SS: 61",
"16,21,51,64,65,89 | SS: 42",
"1,3,29,63,72,85 | SS: 49",
"7,10,24,31,81,84 | SS: 74",
"8,22,36,43,76,77 | SS: 88",
"10,22,27,34,56,85 | SS: 29",
"14,34,35,37,41,61 | SS: 46",
"4,6,8,14,21,28 | SS: 7",
"2,8,27,30,35,87 | SS: 29",
"8,23,39,52,75,81 | SS: 86",
"6,9,10,20,60,83 | SS: 16",
"52,58,61,62,65,69 | SS: 66",
"3,47,63,66,67,69 | SS: 90",
"14,24,33,41,53,82 | SS: 35",
"4,40,60,71,72,90 | SS: 53",
"15,29,30,68,79,85 | SS: 6",
"6,13,34,52,63,83 | SS: 10",
"12,46,52,55,65,90 | SS: 28",
"12,37,38,42,79,82 | SS: 12",
"4,18,24,49,66,81 | SS: 80",
"34,36,44,50,71,80 | SS: 83",
"4,5,21,26,42,79 | SS: 28",
"4,25,43,45,71,90 | SS: 85",
"42,44,45,47,72,79 | SS: 79",
"15,29,50,57,79,88 | SS: 61",
"8,19,27,43,51,79 | SS: 15",
"2,4,5,9,22,75 | SS: 31",
"14,37,48,50,65,66 | SS: 18",
"10,27,42,72,75,87 | SS: 49",
"5,6,28,61,77,87 | SS: 16",
"22,36,40,44,46,76 | SS: 69",
"8,12,14,66,76,88 | SS: 69",
"36,42,46,51,72,84 | SS: 62",
"36,55,59,81,82,89 | SS: 6",
"2,3,35,41,48,88 | SS: 1",
"23,29,42,44,59,82 | SS: 17",
"1,2,4,44,75,80 | SS: 30",
"50,51,57,59,64,74 | SS: 14",
"1,31,51,73,77,88 | SS: 53",
"25,45,63,71,74,88 | SS: 4",
"3,12,22,65,77,84 | SS: 27",
"4,19,31,51,56,57 | SS: 81",
"21,23,28,48,49,54 | SS: 7",
"7,17,44,63,64,88 | SS: 56",
"1,31,48,75,78,81 | SS: 59",
"14,28,40,52,54,83 | SS: 61",
"10,19,32,44,56,76 | SS: 50",
"2,10,30,43,56,83 | SS: 47",
"8,13,16,17,49,68 | SS: 13",
"3,11,28,29,68,88 | SS: 90",
"15,43,45,66,74,87 | SS: 70",
"2,20,32,51,53,83 | SS: 43",
"42,47,55,57,61,79 | SS: 65",
"21,40,76,77,83,84 | SS: 90",
"3,45,49,53,58,77 | SS: 46",
"16,39,65,67,83,86 | SS: 10",
"6,27,59,71,85,90 | SS: 70",
"11,49,53,65,77,89 | SS: 2",
"1,11,24,33,36,80 | SS: 3",
"7,39,45,47,55,80 | SS: 78",
"18,47,55,64,74,89 | SS: 17",
"8,10,20,40,80,85 | SS: 66",
"4,6,26,28,53,64 | SS: 90",
"10,33,34,44,70,79 | SS: 48",
"1,23,38,50,60,77 | SS: 57",
"1,20,21,27,44,75 | SS: 22",
"3,12,32,43,51,58 | SS: 44",
"21,35,39,54,62,85 | SS: 52",
"3,9,33,61,65,85 | SS: 83",
"11,30,55,76,77,90 | SS: 52",
"4,29,70,82,86,88 | SS: 2",
"11,22,35,65,78,81 | SS: 25",
"40,41,62,65,89,90 | SS: 89",
"19,25,31,56,82,90 | SS: 72",
"28,44,51,72,81,90 | SS: 74",
"1,30,60,70,74,77 | SS: 88",
"6,20,58,59,65,88 | SS: 78",
"40,55,64,65,70,85 | SS: 65",
"6,32,50,57,59,61 | SS: 29",
"1,8,21,30,81,86 | SS: 54",
"5,27,43,50,75,90 | SS: 59",
"16,22,36,40,62,75 | SS: 51",
"13,46,48,76,81,83 | SS: 70",
"1,6,43,46,61,83 | SS: 71",
"10,43,55,56,81,87 | SS: 35",
"5,7,68,71,75,85 | SS: 18",
"23,32,34,72,80,83 | SS: 86",
"28,45,60,63,74,86 | SS: 5",
"35,36,43,46,69,75 | SS: 17",
"13,17,19,21,69,73 | SS: 20",
"42,70,74,78,82,87 | SS: 41",
"12,16,21,25,27,64 | SS: 4",
"2,17,60,77,85,86 | SS: 71",
"1,29,37,67,74,81 | SS: 67",
"8,30,39,66,69,78 | SS: 54",
"10,28,53,64,76,79 | SS: 81",
"3,46,64,71,78,87 | SS: 64",
"3,21,33,45,47,85 | SS: 22",
"28,30,65,74,77,83 | SS: 88",
"11,19,43,75,81,87 | SS: 80",
